0.6-1万/月,工装夹具设计工程师,上海,无工作经验,招若干人,04-20发布
6-8千/月,机械工程师应届生,上海-闵行区,无工作经验,本科,招9人,04-20发布
0.6-2万/月,机械/研发工程师,上海-松江区,无工作经验,本科,招5人,04-20发布,英语熟练,机械设计制造及其自动化金属材料工程
4.5-5.5千/月,机械（工艺）设计工程师（临港）,上海,1年经验,中专,招2人,04-20发布,机械设计制造及其自动化机械制造工艺与设备
6-8千/月,机械设计工程师,上海-奉贤区,2年经验,大专,招1人,04-20发布,机械电子工程/机电一体化机械设计制造及其自动化
0.8-1万/月,急聘：机械工程师（需四氯乙烯开发经验）,上海-宝山区,无工作经验,招1人,04-20发布
1-1.5万/月,机械设计工程师,上海-浦东新区,8-9年经验,本科,招2人,04-20发布,英语熟练,机械设计制造及其自动化机械工程及自动化
20-30万/年,机械工程师,上海-嘉定区,3-4年经验,本科,招5人,04-20发布
0.9-1.5万/月,机械设计工程师,上海,2年经验,硕士,招1人,04-20发布,英语良好,机械设计制造及其自动化机械制造工艺与设备
5-6千/月,机械加工质量检验,南通,10年以上经验,中专,招2人,04-20发布,普通话良好
2-2.5万/月,机械设计主管,上海-松江区,8-9年经验,本科,招若干人,04-20发布
4.5-6千/月,机械装配工,上海,1年经验,中技,招1人,04-20发布
1.5-2万/月,精密机械设计工程师,上海-浦东新区,8-9年经验,本科,招1人,04-20发布,英语,测控技术与仪器机械设计制造及其自动化
4-8千/月,机械加工工艺绘图员,上海-奉贤区,无工作经验,招若干人,04-20发布
0.8-1.2万/月,机械工程师,上海-闵行区,1年经验,本科,招5人,04-20发布,英语良好,机械设计制造及其自动化机械电子工程/机电一体化
1-1.5万/月,机械工程师,上海-浦东新区,5-7年经验,本科,招3人,04-20发布,机械设计制造及其自动化过程装备与控制工程
0.9-1.1万/月,项目设备机械工程师,上海-闵行区,2年经验,本科,招1人,04-20发布,英语良好,机械设计制造及其自动化机械制造工艺与设备
15-20万/年,机械维修工程师,上海-青浦区,3-4年经验,本科,招1人,04-20发布,英语
4.5-6千/月,机械设计助理,上海-浦东新区,2年经验,大专,招6人,04-20发布,机械工程及自动化机械设计制造及其自动化
6-8千/月,自动化机械工程师,上海-奉贤区,2年经验,大专,招2人,04-20发布
6-8千/月,机械设计员,上海-嘉定区,无工作经验,大专,招2人,04-20发布,普通话良好,机械设计制造及其自动化
1.2-3万/月,机械结构工程师,上海-虹口区,无工作经验,招2人,04-20发布
1-2万/月,机械工程师(职位编号：080102001),上海-松江区,3-4年经验,大专,招若干人,04-20发布,机械设计制造及其自动化机械制造工艺与设备
0.6-1.2万/月,机械研发工程师,上海,无工作经验,本科,招2人,04-20发布
1-1.5万/月,钣金设计师结构设计师机械工程师,上海,5-7年经验,大专,招若干人,04-20发布,机械设计制造及其自动化工业设计
0.6-1.2万/月,机械设计工程师（传统五金）,上海-闵行区,3-4年经验,招若干人,04-20发布,机械设计制造及其自动化机械电子工程/机电一体化
0.8-1万/月,机械设计工程师（设备应用）,上海-青浦区,2年经验,本科,招3人,04-20发布,机械电子工程/机电一体化机械设计制造及其自动化
5-8千/月,机械工程师,上海-青浦区,无工作经验,本科,招1人,04-20发布
6-9千/月,机械设计工程师,上海-松江区,2年经验,大专,招2人,04-20发布,机械制造工艺与设备工业设计
4.5-6千/月,机械工程师,上海-青浦区,5-7年经验,大专,招1人,04-20发布
4-4.5千/月,机械检验员,上海-松江区,3-4年经验,大专,招2人,04-20发布,材料科学与工程工业设计
15-30万/年,机械系统强度-工程师/助理工程师,上海,1年经验,本科,招若干人,04-20发布
0.6-2万/月,非标机械设计师（会日语）,上海-松江区,无工作经验,本科,招3人,04-20发布,日语熟练英语良好
4-6千/月,机械工程师,上海-长宁区,无工作经验,大专,招3人,04-20发布,机械设计制造及其自动化机械电子工程/机电一体化
0.6-1万/月,NIKKISO机械销售工程师,上海-长宁区,1年经验,中专,招2人,04-20发布,英语良好,机械制造工艺与设备化工设备与机械
0.8-1.2万/月,烟气脱硫设备/机械工程师,上海-杨浦区,3-4年经验,本科,招2人,04-20发布
1-1.5万/月,机械设计工程师-配液产品线,上海,2年经验,招1人,04-20发布
0.8-1.5万/月,机械设计工程师,上海-浦东新区,3-4年经验,本科,招若干人,04-20发布
0.8-1.1万/月,机械工艺工程师,上海-闵行区,3-4年经验,大专,招1人,04-20发布
1-1.5万/月,机械结构设计-上海嘉定区,上海-嘉定区,无工作经验,招若干人,04-20发布
0.6-1.5万/月,机械设计工程师,上海-松江区,1年经验,大专,招2人,04-20发布,机械设计制造及其自动化机械工程及自动化
0.8-1万/月,机械设计工程师,上海-浦东新区,3-4年经验,大专,招若干人,04-20发布
0.8-1万/月,机械设计工程师,上海-闵行区,2年经验,大专,招2人,04-20发布,英语一般,机械设计制造及其自动化
0.6-1万/月,机械设计助理,上海-闵行区,无工作经验,本科,招3人,04-20发布,英语熟练,机械设计制造及其自动化机械电子工程/机电一体化
40-50万/年,机械设计工程师,上海-嘉定区,5-7年经验,本科,招1人,04-20发布
8-10万/年,机械技师,上海-徐汇区,3-4年经验,大专,招若干人,04-20发布,英语良好
6-8千/月,机械结构工程师,上海-嘉定区,3-4年经验,本科,招若干人,04-20发布,英语良好,机械电子工程/机电一体化
6-8千/月,机械设计工程师,上海-奉贤区,2年经验,大专,招若干人,04-20发布
6-8千/月,机械技师,上海,无工作经验,招若干人,04-20发布
0.8-1.8万/月,机械工程师,嘉兴,3-4年经验,大专,招2人,04-20发布
6-8千/月,机械结构工程师,上海-奉贤区,3-4年经验,中专,招2人,04-20发布
1-1.5万/月,机械设计工程师,上海-青浦区,5-7年经验,大专,招5人,04-20发布,机械设计制造及其自动化机械工程及自动化
0.8-1.5万/月,Machineryengineer机械工程师,上海-闵行区,5-7年经验,本科,招1人,04-20发布,英语熟练,机械设计制造及其自动化机械制造工艺与设备
6-8千/月,自动化机械结构设计工程师/绘图员,上海-松江区,3-4年经验,大专,招3人,04-20发布,机械设计制造及其自动化机械电子工程/机电一体化
10-15万/年,专机设计机械工程（校招）,上海,无工作经验,招若干人,04-20发布
4.5-6千/月,机械质检员,上海-宝山区,1年经验,中技,招若干人,04-20发布,机械设计制造及其自动化机械制造工艺与设备
0.8-1万/月,研发工程师-机械类,上海-青浦区,无工作经验,本科,招2人,04-20发布,英语良好,机械设计制造及其自动化机械工程及自动化
10-15万/年,机械工程师液压、润滑系统设计,上海-闵行区,无工作经验,招2人,04-20发布
6-8千/月,机械设计工程师,上海-浦东新区,3-4年经验,大专,招3人,04-20发布,机械设计制造及其自动化机械电子工程/机电一体化
0.6-1.5万/月,机械绘图员,上海-奉贤区,2年经验,本科,招2人,04-20发布,普通话良好,机械设计制造及其自动化机械电子工程/机电一体化
0.8-1万/月,机械工程师,上海-浦东新区,5-7年经验,大专,招2人,04-20发布,日语良好,机械工程及自动化
,MechanicalTestEngineer机械测试工程师,上海-松江区,无工作经验,招1人,04-20发布
1-1.5万/月,机械工程师,上海-杨浦区,3-4年经验,本科,招若干人,04-20发布
4-5千/月,机械销售、泵销售、电气销售、仪器仪表销售,上海,1年经验,大专,招若干人,04-20发布
0.8-1万/月,机械设计工程师,上海-闵行区,2年经验,招2人,04-20发布
3-4.5千/月,机械设计,嘉兴,无工作经验,招2人,04-20发布
1-1.5万/月,机械工程师,太仓,3-4年经验,本科,招1人,04-20发布,英语熟练
1-2.5万/月,（医疗器械）机械研发工程师,上海,2年经验,本科,招若干人,04-20发布,英语良好,机械设计制造及其自动化材料成型及控制工程
4-6千/月,销售经理-（机械）,上海-闵行区,1年经验,大专,招10人,04-20发布,普通话熟练,机械设计制造及其自动化市场营销
1-1.5万/月,机械设备业务代表,上海-嘉定区,无工作经验,初中及以下,招3人,04-20发布,普通话良好
0.8-1万/月,机械工程师-传送带,上海-松江区,3-4年经验,本科,招1人,04-20发布,英语良好,机械设计制造及其自动化
20-30万/年,厂务机械科科长,上海-浦东新区,无工作经验,招1人,04-20发布
1-1.5万/月,机械设计工程师(非标自动化）,上海-松江区,5-7年经验,大专,招3人,04-20发布,机械设计制造及其自动化机械电子工程/机电一体化
,工程-机械工程师,上海-浦东新区,3-4年经验,本科,招8人,04-20发布
0.6-1万/月,机械工程师,上海-浦东新区,无工作经验,招1人,04-20发布
0.6-1.5万/月,机械工程师,上海-松江区,2年经验,大专,招3人,04-20发布
4.5-6千/月,机械工程师,上海-嘉定区,无工作经验,大专,招1人,04-20发布
10-15万/年,机械销售工程师,上海-松江区,3-4年经验,大专,招1人,04-20发布,机械工程及自动化机械电子工程/机电一体化
4-6千/月,机械设计工程师,上海-闵行区,1年经验,大专,招2人,04-20发布,机械制造工艺与设备机械设计制造及其自动化
4.5-6千/月,机械绘图员(职位编号：016),上海-松江区,2年经验,本科,招2人,04-20发布,普通话良好,电气工程及其自动化机械设计制造及其自动化
4.5-6千/月,机械装配工程师,上海,2年经验,中技,招1人,04-20发布,机械电子工程/机电一体化机械工程及自动化
6-8千/月,机械工程师,上海-金山区,1年经验,大专,招1人,04-20发布
1-1.5万/月,非标机械设计师,上海-松江区,3-4年经验,大专,招1人,04-20发布
5.5-6.5千/月,机械绘图员,上海-奉贤区,无工作经验,大专,招4人,04-20发布,英语一般,机械设计制造及其自动化
0.8-1万/月,自动化机械设备设计工程师（汽车零部件行业）,上海-浦东新区,5-7年经验,本科,招1人,04-20发布
0.8-1.2万/月,机械设计工程师,上海-松江区,3-4年经验,大专,招5人,04-20发布
0.8-1万/月,机械工程师,上海-松江区,无工作经验,招1人,04-20发布
0.8-1.2万/月,机械设计工程师,上海-松江区,3-4年经验,本科,招1人,04-20发布,英语良好,机械电子工程/机电一体化
8-10万/年,机械设计,上海-浦东新区,10年以上经验,大专,招1人,04-20发布
0.5-1万/月,机械钣金设计CAD,上海-松江区,1年经验,高中,招1人,04-20发布,普通话
1-1.5万/月,高级机械工程师,上海-闵行区,5-7年经验,本科,招2人,04-20发布,英语良好,机械电子工程/机电一体化机械设计制造及其自动化
4.5-6千/月,机械检验员,上海-闵行区,3-4年经验,高中,招1人,04-20发布,普通话,机械电子工程/机电一体化机械设计制造及其自动化
0.6-1.5万/月,机械设计工程师,上海,3-4年经验,本科,招1人,04-20发布,英语熟练,机械设计制造及其自动化
0.8-1.2万/月,机械研发工程师,上海-黄浦区,3-4年经验,大专,招1人,04-20发布
1-2万/月,急聘高级研发工程师/机械设计师,上海-浦东新区,无工作经验,本科,招1人,04-20发布
4-6.5千/月,机械绘图员,上海-金山区,1年经验,大专,招10人,04-20发布
6-8千/月,机械工程师,上海-闵行区,3-4年经验,大专,招1人,04-20发布,英语,机械工程及自动化
0.8-2.5万/月,机械设计工程师-非标,上海-嘉定区,3-4年经验,大专,招15人,04-20发布
0.5-1万/月,机械设计（技术部）,上海-松江区,无工作经验,本科,招若干人,04-20发布
0.4-1.5万/月,机械配件销售专员,上海-浦东新区,1年经验,大专,招6人,04-20发布,机械设计制造及其自动化机械制造工艺与设备
0.7-1.5万/月,机械工程师,上海-奉贤区,5-7年经验,大专,招3人,04-20发布
5-7千/月,机械制图设计员,上海-徐汇区,无工作经验,本科,招若干人,04-20发布,英语一般
6-8千/月,机械工程师,上海-宝山区,无工作经验,大专,招3人,04-20发布
6-8千/月,机械工程师,上海-奉贤区,1年经验,本科,招1人,04-20发布,英语,机械设计制造及其自动化电气工程及其自动化
1-1.5万/月,机械设计工程师,上海-奉贤区,3-4年经验,招若干人,04-20发布
7-8千/月,机械工程师,上海,1年经验,大专,招1人,04-20发布,英语良好,机械制造工艺与设备制造工程
5-8千/月,机械工程师,上海-金山区,3-4年经验,大专,招1人,04-20发布
10-15万/年,机械设计工程师(职位编号：004),上海-闵行区,2年经验,大专,招2人,04-20发布
1.2-1.5万/月,高级机械设计工程师,上海-闵行区,5-7年经验,本科,招2人,04-20发布,英语良好,机械设计制造及其自动化机械工程及自动化
1-1.5万/月,机械设计工程师,上海-金山区,3-4年经验,大专,招1人,04-20发布
0.8-1.5万/月,非标机械设计师（青浦、嘉定）(职位编号：NY01),上海,3-4年经验,大专,招5人,04-20发布
0.5-1.5万/月,机械工程师,上海-青浦区,无工作经验,本科,招5人,04-20发布,机械设计制造及其自动化机械制造工艺与设备
0.6-1.2万/月,机械设计工程师(职位编号：1),上海-闵行区,无工作经验,招2人,04-20发布
4.5-6千/月,机械设计/生产技术,上海-嘉定区,2年经验,大专,招1人,04-20发布
1-1.5万/月,机械设计工程师,上海-嘉定区,3-4年经验,大专,招5人,04-20发布,机械工程及自动化机械电子工程/机电一体化
0.8-1万/月,机械工程师,上海-宝山区,2年经验,大专,招3人,04-20发布,机械电子工程/机电一体化
0.6-1万/月,机械工程师,上海-奉贤区,3-4年经验,大专,招3人,04-20发布,制药工程食品科学与工程
0.8-1.2万/月,总经理助理（机械行业研发方向）,上海-奉贤区,无工作经验,大专,招1人,04-20发布
1-1.5万/月,工程机械外贸业务员(职位编号：1),上海,2年经验,大专,招6人,04-20发布,英语熟练,国际经济与贸易机械工程及自动化
1-1.5万/月,机械工程师,上海-闵行区,无工作经验,本科,招若干人,04-20发布
0.8-1.2万/月,机械设计师,上海-闵行区,3-4年经验,大专,招2人,04-20发布,机械设计制造及其自动化机械电子工程/机电一体化
8-20万/年,机械设计工程师,上海-闵行区,5-7年经验,本科,招2人,04-20发布,普通话熟练英语良好,机械设计制造及其自动化模具设计与制造
0.8-1万/月,机械工程师,上海-嘉定区,5-7年经验,本科,招2人,04-20发布,英语一般
10-15万/年,机械工程师(职位编号：001),上海-闵行区,1年经验,本科,招2人,04-20发布,普通话一般
0.8-1.4万/月,机械设计工程师,上海-宝山区,1年经验,大专,招3人,04-20发布,普通话熟练,机械制造工艺与设备机械工程及自动化
0.8-1万/月,机械设计工程师,上海-奉贤区,2年经验,大专,招若干人,04-20发布,机械设计制造及其自动化制造自动化与测控技术
0.8-1.5万/月,机械设计工程师,上海-杨浦区,2年经验,本科,招2人,04-20发布,机械工程及自动化机械设计制造及其自动化
1-1.5万/月,机械工程师(职位编号：01),上海-浦东新区,1年经验,大专,招1人,04-20发布,机械电子工程/机电一体化
0.8-1.8万/月,机械工程师,上海,5-7年经验,本科,招5人,04-20发布,机械设计制造及其自动化机械电子工程/机电一体化
0.7-1.3万/月,机械工程师,上海-嘉定区,3-4年经验,本科,招若干人,04-20发布,英语一般,机械设计制造及其自动化机械电子工程/机电一体化
0.8-2万/月,机械工程师(职位编号：01),上海-闵行区,3-4年经验,大专,招3人,04-20发布,英语普通话
0.8-1万/月,机械设计工程师,上海-浦东新区,2年经验,本科,招1人,04-20发布,英语良好,机械设计制造及其自动化
5-8千/月,机械绘图员,上海-浦东新区,3-4年经验,大专,招2人,04-20发布,普通话熟练英语一般,机械设计制造及其自动化机械制造工艺与设备
6-9千/月,机械设计工程师,上海-闵行区,2年经验,大专,招4人,04-20发布,机械设计制造及其自动化机械工程及自动化
4-8千/月,机械设计与应用工程师,上海-浦东新区,2年经验,本科,招1人,04-20发布,英语熟练,机械设计制造及其自动化机械工程及自动化
0.7-2万/月,机械工程师,上海,无工作经验,大专,招若干人,04-20发布,英语良好,机械设计制造及其自动化电气工程及其自动化
,机械电子研发工程师,上海,1年经验,本科,招1人,04-20发布,英语熟练
1-1.5万/月,产品企划经理&主管（工程机械业务）,上海-闵行区,5-7年经验,本科,招2人,04-20发布,机械设计制造及其自动化
0.7-1.3万/月,水泵工程师（流体机械专业）上涵,上海-青浦区,3-4年经验,本科,招3人,04-20发布,机械设计制造及其自动化
0.8-1.2万/月,机械工程师,上海,3-4年经验,本科,招1人,04-20发布,英语熟练
0.8-2万/月,机械设计,上海,2年经验,大专,招2人,04-20发布,普通话
1-1.5万/月,高级机械工程师嘉定,上海-嘉定区,3-4年经验,本科,招2人,04-20发布,英语熟练,机械设计制造及其自动化机械工程及自动化
0.6-1.3万/月,机械设计工程师,上海-浦东新区,5-7年经验,大专,招若干人,04-20发布,英语一般,机械设计制造及其自动化机械制造工艺与设备
1.4-2万/月,机械工程师,上海-徐汇区,无工作经验,招1人,04-20发布
1-1.5万/月,机械工程师,上海-松江区,3-4年经验,大专,招5人,04-20发布
0.8-1.5万/月,非标机械工程师,上海-闵行区,3-4年经验,本科,招1人,04-20发布,英语良好
6-8千/月,机械工程师,上海-奉贤区,2年经验,本科,招2人,04-20发布,机械设计制造及其自动化
4.5-6千/月,机械检验,上海,无工作经验,招2人,04-20发布
8-10万/年,机械设计工程师,上海-嘉定区,1年经验,大专,招若干人,04-20发布,英语良好,电气工程及其自动化自动化
3-4.5千/月,机械制图员,上海-嘉定区,1年经验,大专,招2人,04-20发布
6-8千/月,机械设计工程师,上海-宝山区,无工作经验,招1人,04-20发布
6-8千/月,机械装配工,上海-松江区,3-4年经验,中技,招若干人,04-20发布
0.8-1万/月,机械工程师(详图设计),上海-闵行区,3-4年经验,大专,招3人,04-20发布,英语一般,机械设计制造及其自动化机械电子工程/机电一体化
0.7-1万/月,质量检验工程师（机械加工）,上海-静安区,无工作经验,招1人,04-20发布
10-15万/年,机械工程师,上海-浦东新区,8-9年经验,大专,招1人,04-20发布,英语良好,机械设计制造及其自动化机械电子工程/机电一体化
6-8千/月,绘图员/CAD制图/机械绘图,上海-青浦区,无工作经验,招若干人,04-20发布
6-8千/月,机械设计工程师,上海-松江区,无工作经验,招1人,04-20发布
0.6-1万/月,技术支持（工业机械类）,上海-浦东新区,1年经验,大专,招1人,04-20发布,英语良好
6-8千/月,机械设备工程师,上海-徐汇区,无工作经验,中专,招10人,04-20发布
10-15万/年,机械设计工程师,上海-嘉定区,3-4年经验,大专,招3人,04-20发布,英语一般,机械设计制造及其自动化机械电子工程/机电一体化
0.6-1万/月,机械高级工程师,上海-浦东新区,3-4年经验,大专,招1人,04-20发布
0.8-1.5万/月,研发工程师（机械）,上海,无工作经验,招1人,04-20发布
0.8-1万/月,机械结构设计师,上海-嘉定区,3-4年经验,本科,招若干人,04-20发布
0.8-1万/月,机械设计工程师(000550)(职位编号：000550),上海-闵行区,无工作经验,本科,招4人,04-20发布
0.8-1万/月,机械结构工程师,上海-闵行区,1年经验,大专,招2人,04-20发布
6-8千/月,机械设计工程师,上海-普陀区,3-4年经验,本科,招2人,04-20发布,机械设计制造及其自动化
0.6-1万/月,机械工程师,上海,2年经验,本科,招1人,04-20发布,英语良好,机械设计制造及其自动化机械制造工艺与设备
3.5-4.5千/月,机械开发实习生,上海,无工作经验,本科,招2人,04-20发布
0.8-1万/月,机械管理员,上海-徐汇区,5-7年经验,大专,招1人,04-20发布,英语良好
0.7-1万/月,自动化机械工程师,上海-浦东新区,3-4年经验,本科,招1人,04-20发布,机械设计制造及其自动化机械工程及自动化
6-8千/月,机械工程师,上海-浦东新区,3-4年经验,本科,招若干人,04-20发布
4.5-6千/月,工程/机械绘图员,上海-静安区,1年经验,大专,招若干人,04-20发布
0.8-1.5万/月,机械工程师,上海-嘉定区,无工作经验,招1人,04-20发布
0.8-1.2万/月,高级机械工程师,上海-松江区,5-7年经验,本科,招1人,04-20发布,普通话精通,机械设计制造及其自动化
5.5-8千/月,机械工程师,上海-浦东新区,无工作经验,大专,招2人,04-20发布
6-8千/月,机械绘图员,上海-松江区,1年经验,大专,招2人,04-20发布,机械设计制造及其自动化机械工程及自动化
1.5-2.5万/月,机械设计经理（日语）,上海-宝山区,10年以上经验,本科,招1人,04-20发布,日语熟练,机械设计制造及其自动化
0.6-1.2万/月,机械工程师/机械设计工程师,上海-闵行区,2年经验,大专,招2人,04-20发布
8-10万/年,机械设计工程师,上海,3-4年经验,本科,招3人,04-20发布,英语良好,机械设计制造及其自动化
0.8-1.5万/月,机械工程师,上海-闵行区,无工作经验,本科,招2人,04-20发布
0.8-1万/月,机械设计工程师1,上海-奉贤区,3-4年经验,大专,招2人,04-20发布,机械设计制造及其自动化
6-8千/月,初级机械工程JuniorMechanicalEngineer,上海-浦东新区,1年经验,大专,招1人,04-20发布,英语良好,机械设计制造及其自动化机械工程及自动化
5-8千/月,机械绘图员,上海-青浦区,无工作经验,招2人,04-20发布
0.6-1.2万/月,机械工程师,上海-松江区,1年经验,大专,招3人,04-20发布
,QualityEngineer(机械),上海-徐汇区,2年经验,本科,招1人,04-20发布,英语熟练
6-8千/月,机械设计工程师,上海-松江区,2年经验,大专,招3人,04-20发布,机械设计制造及其自动化机械电子工程/机电一体化
4.5-6千/月,机械项目合伙人,上海-静安区,1年经验,高中,招1人,04-20发布
3-4.5千/月,机械工程师（应届生）,上海-奉贤区,无工作经验,大专,招5人,04-20发布,英语良好,机械设计制造及其自动化过程装备与控制工程
3-4.5千/月,机械工程师助理,上海-浦东新区,无工作经验,大专,招5人,04-20发布
4.5-6千/月,机械设计,上海-闵行区,无工作经验,本科,招2人,04-20发布
4.5-6千/月,机械工程师,上海-松江区,无工作经验,大专,招1人,04-20发布,英语良好,机械设计制造及其自动化机械电子工程/机电一体化
4-6千/月,机械设计绘图员,上海-嘉定区,1年经验,大专,招1人,04-20发布,英语一般,机械电子工程/机电一体化机械设计制造及其自动化
10-20万/年,机械质量工程师,上海-嘉定区,3-4年经验,本科,招1人,04-20发布
3-8千/月,机械设计工程师（接受实习生）,上海-嘉定区,无工作经验,大专,招2人,04-20发布,机械设计制造及其自动化机械电子工程/机电一体化
6-8千/月,机械设计工程师,上海,1年经验,大专,招1人,04-20发布,机械设计制造及其自动化机械电子工程/机电一体化
4.5-7千/月,机械设计工程师（含应届生）,上海,无工作经验,本科,招6人,04-20发布
0.8-1万/月,机械工程师MechanicalEngineer,上海-浦东新区,1年经验,本科,招1人,04-20发布
6-8千/月,机械工程师,上海,2年经验,大专,招2人,04-20发布,英语良好,机械工程及自动化机械设计制造及其自动化
1.2-2万/月,机械主管,上海-松江区,5-7年经验,本科,招2人,04-20发布,英语一般,机械设计制造及其自动化机械电子工程/机电一体化
1-1.5万/月,机械工程师,上海-奉贤区,3-4年经验,大专,招1人,04-20发布,英语熟练,机械工程及自动化机械制造工艺与设备
15-20万/年,高级机械工程师,上海-徐汇区,5-7年经验,本科,招2人,04-20发布,机械设计制造及其自动化电气工程及其自动化
1.5-1.8万/月,机械工程师,上海-嘉定区,3-4年经验,本科,招1人,04-20发布,英语熟练,机械电子工程/机电一体化医学技术
0.5-1万/月,机械项目工程师,上海-长宁区,3-4年经验,本科,招1人,04-20发布,普通话精通
6-8千/月,机械设计工程师,上海-浦东新区,2年经验,大专,招2人,04-20发布
4-8千/月,机械设计工程师,上海-嘉定区,2年经验,大专,招1人,04-20发布
1-1.5万/月,机械装配工艺工程师,上海-松江区,8-9年经验,本科,招1人,04-20发布,英语熟练,机械设计制造及其自动化材料成型及控制工程
0.6-1.5万/月,包装机械设计工程师,上海-松江区,3-4年经验,大专,招2人,04-20发布
0.8-1.2万/月,机械设计,上海-宝山区,2年经验,本科,招若干人,04-20发布
1-1.5万/月,机械工程师,上海-松江区,3-4年经验,本科,招5人,04-20发布,机械设计制造及其自动化机械电子工程/机电一体化
3.5-5千/月,机械装配工,上海-青浦区,3-4年经验,高中,招若干人,04-20发布
0.8-1.2万/月,机械工程师,上海-青浦区,无工作经验,招1人,04-20发布
