"0.8-1,10",本科,5-7年经验,自动化机械设备设计工程师（汽车零部件行业）,上海-浦东新区
"0.8-1.2,10",大专,3-4年经验,机械设计工程师,上海-松江区
"0.8-1,10",招1人,无工作经验,机械工程师,上海-松江区
"0.8-1.2,10",本科,3-4年经验,机械设计工程师,上海-松江区
"8-10,0.8",大专,10年以上经验,机械设计,上海-浦东新区
"0.5-1,10",高中,1年经验,机械钣金设计CAD,上海-松江区
"1-1.5,10",本科,5-7年经验,高级机械工程师,上海-闵行区
"4.5-6,1",高中,3-4年经验,机械检验员,上海-闵行区
"0.6-1.5,10",本科,3-4年经验,机械设计工程师,上海
"0.8-1.2,10",大专,3-4年经验,机械研发工程师,上海-黄浦区
"1-2,10",本科,无工作经验,急聘高级研发工程师/机械设计师,上海-浦东新区
"4-6.5,1",大专,1年经验,机械绘图员,上海-金山区
"6-8,1",大专,3-4年经验,机械工程师,上海-闵行区
"0.8-2.5,10",大专,3-4年经验,机械设计工程师-非标,上海-嘉定区
"0.5-1,10",本科,无工作经验,机械设计（技术部）,上海-松江区
"0.4-1.5,10",大专,1年经验,机械配件销售专员,上海-浦东新区
"0.7-1.5,10",大专,5-7年经验,机械工程师,上海-奉贤区
"5-7,1",本科,无工作经验,机械制图设计员,上海-徐汇区
"6-8,1",大专,无工作经验,机械工程师,上海-宝山区
"6-8,1",本科,1年经验,机械工程师,上海-奉贤区
"1-1.5,10",招若干人,3-4年经验,机械设计工程师,上海-奉贤区
"7-8,1",大专,1年经验,机械工程师,上海
"5-8,1",大专,3-4年经验,机械工程师,上海-金山区
"10-15,0.8",大专,2年经验,机械设计工程师(职位编号：004),上海-闵行区
"1.2-1.5,10",本科,5-7年经验,高级机械设计工程师,上海-闵行区
"1-1.5,10",大专,3-4年经验,机械设计工程师,上海-金山区
"0.8-1.5,10",大专,3-4年经验,非标机械设计师（青浦、嘉定）(职位编号：NY01),上海
"0.5-1.5,10",本科,无工作经验,机械工程师,上海-青浦区
"0.6-1.2,10",招2人,无工作经验,机械设计工程师(职位编号：1),上海-闵行区
"4.5-6,1",大专,2年经验,机械设计/生产技术,上海-嘉定区
"1-1.5,10",大专,3-4年经验,机械设计工程师,上海-嘉定区
"0.8-1,10",大专,2年经验,机械工程师,上海-宝山区
"0.6-1,10",大专,3-4年经验,机械工程师,上海-奉贤区
"0.8-1.2,10",大专,无工作经验,总经理助理（机械行业研发方向）,上海-奉贤区
"1-1.5,10",大专,2年经验,工程机械外贸业务员(职位编号：1),上海
"1-1.5,10",本科,无工作经验,机械工程师,上海-闵行区
"0.8-1.2,10",大专,3-4年经验,机械设计师,上海-闵行区
"8-20,0.8",本科,5-7年经验,机械设计工程师,上海-闵行区
"0.8-1,10",本科,5-7年经验,机械工程师,上海-嘉定区
"10-15,0.8",本科,1年经验,机械工程师(职位编号：001),上海-闵行区
"0.8-1.4,10",大专,1年经验,机械设计工程师,上海-宝山区
"0.8-1,10",大专,2年经验,机械设计工程师,上海-奉贤区
"0.8-1.5,10",本科,2年经验,机械设计工程师,上海-杨浦区
"1-1.5,10",大专,1年经验,机械工程师(职位编号：01),上海-浦东新区
"0.8-1.8,10",本科,5-7年经验,机械工程师,上海
"0.7-1.3,10",本科,3-4年经验,机械工程师,上海-嘉定区
"0.8-2,10",大专,3-4年经验,机械工程师(职位编号：01),上海-闵行区
"0.8-1,10",本科,2年经验,机械设计工程师,上海-浦东新区
"5-8,1",大专,3-4年经验,机械绘图员,上海-浦东新区
"6-9,1",大专,2年经验,机械设计工程师,上海-闵行区
"4-8,1",本科,2年经验,机械设计与应用工程师,上海-浦东新区
"0.7-2,10",大专,无工作经验,机械工程师,上海
"1-1.5,10",本科,5-7年经验,产品企划经理&主管（工程机械业务）,上海-闵行区
"0.7-1.3,10",本科,3-4年经验,水泵工程师（流体机械专业）上涵,上海-青浦区
"0.8-1.2,10",本科,3-4年经验,机械工程师,上海
"0.8-2,10",大专,2年经验,机械设计,上海
"1-1.5,10",本科,3-4年经验,高级机械工程师嘉定,上海-嘉定区
"0.6-1.3,10",大专,5-7年经验,机械设计工程师,上海-浦东新区
"1.4-2,10",招1人,无工作经验,机械工程师,上海-徐汇区
"1-1.5,10",大专,3-4年经验,机械工程师,上海-松江区
"0.8-1.5,10",本科,3-4年经验,非标机械工程师,上海-闵行区
"6-8,1",本科,2年经验,机械工程师,上海-奉贤区
"4.5-6,1",招2人,无工作经验,机械检验,上海
"8-10,0.8",大专,1年经验,机械设计工程师,上海-嘉定区
"3-4.5,1",大专,1年经验,机械制图员,上海-嘉定区
"6-8,1",招1人,无工作经验,机械设计工程师,上海-宝山区
"6-8,1",中技,3-4年经验,机械装配工,上海-松江区
"0.8-1,10",大专,3-4年经验,机械工程师(详图设计),上海-闵行区
"0.7-1,10",招1人,无工作经验,质量检验工程师（机械加工）,上海-静安区
"10-15,0.8",大专,8-9年经验,机械工程师,上海-浦东新区
"6-8,1",招若干人,无工作经验,绘图员/CAD制图/机械绘图,上海-青浦区
"6-8,1",招1人,无工作经验,机械设计工程师,上海-松江区
"0.6-1,10",大专,1年经验,技术支持（工业机械类）,上海-浦东新区
"6-8,1",中专,无工作经验,机械设备工程师,上海-徐汇区
"10-15,0.8",大专,3-4年经验,机械设计工程师,上海-嘉定区
"0.6-1,10",大专,3-4年经验,机械高级工程师,上海-浦东新区
"0.8-1.5,10",招1人,无工作经验,研发工程师（机械）,上海
"0.8-1,10",本科,3-4年经验,机械结构设计师,上海-嘉定区
